province,district_clean,sector,district_sector,disease,casetype,age_category_new,gender,periodname,year,month,Total
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,October 2020,2020,October,1679.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,October 2021,2021,October,321.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,October 2022,2022,October,584.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,October 2023,2023,October,2007.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,October 2024,2024,October,1522.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,September 2020,2020,September,865.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,September 2021,2021,September,357.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,September 2022,2022,September,595.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,September 2023,2023,September,260.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,September 2024,2024,September,985.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2020,2020,April,98.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2021,2021,April,534.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2022,2022,April,113.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2023,2023,April,53.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2024,2024,April,63.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,April 2025,2025,April,241.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,August 2020,2020,August,107.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,August 2021,2021,August,244.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,August 2022,2022,August,104.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,August 2023,2023,August,43.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,August 2024,2024,August,115.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,December 2020,2020,December,456.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,December 2021,2021,December,206.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,December 2022,2022,December,53.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,December 2023,2023,December,94.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,December 2024,2024,December,191.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2020,2020,February,127.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2021,2021,February,462.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2022,2022,February,124.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2023,2023,February,70.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2024,2024,February,65.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,February 2025,2025,February,138.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2020,2020,January,36.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2021,2021,January,440.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2022,2022,January,191.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2023,2023,January,62.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2024,2024,January,110.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,January 2025,2025,January,138.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,July 2020,2020,July,147.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,July 2021,2021,July,299.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,July 2022,2022,July,102.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,July 2023,2023,July,48.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,July 2024,2024,July,67.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2020,2020,June,173.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2021,2021,June,390.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2022,2022,June,127.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2023,2023,June,28.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2024,2024,June,111.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,June 2025,2025,June,218.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2020,2020,March,73.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2021,2021,March,436.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2022,2022,March,62.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2023,2023,March,33.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2024,2024,March,61.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,March 2025,2025,March,196.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2020,2020,May,112.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2021,2021,May,628.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2022,2022,May,133.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2023,2023,May,38.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2024,2024,May,63.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,May 2025,2025,May,255.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,November 2020,2020,November,475.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,November 2021,2021,November,334.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,November 2022,2022,November,88.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,November 2023,2023,November,106.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,November 2024,2024,November,382.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,October 2020,2020,October,287.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,October 2021,2021,October,282.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,October 2022,2022,October,84.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,October 2023,2023,October,175.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,October 2024,2024,October,479.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,September 2020,2020,September,175.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,September 2021,2021,September,300.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,September 2022,2022,September,98.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,September 2023,2023,September,83.0
East,Bugesera,Mareba,Bugesera_Mareba,Malaria community,,,,September 2024,2024,September,309.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2020,2020,April,172.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2021,2021,April,640.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2022,2022,April,134.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2023,2023,April,88.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2024,2024,April,45.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,April 2025,2025,April,192.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,August 2020,2020,August,149.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,August 2021,2021,August,357.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,August 2022,2022,August,56.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,August 2023,2023,August,110.0
East,Bugesera,Mayange,Bugesera_Mayange,Malaria community,,,,August 2024,2024,August,178.0
